"Wavelength (nm)","T"
844,57.68752
845,58.33353
846,58.99779
847,59.65391
848,60.30491
849,60.90035
850,61.53625
851,62.18493
852,62.84389
853,63.45194
854,64.10358
855,64.75886
856,65.40477
857,66.00246
858,66.63586
859,67.24618
860,67.89258
861,68.53301
862,69.16592
863,69.7962
864,70.45625
865,71.05794
866,71.61896
867,72.29109
868,72.93467
869,73.60624
870,74.29184
871,74.91979
872,75.49754
873,75.96442
874,76.38344
875,76.82246
876,77.29008
877,77.66959
878,78.28465
879,78.81586
880,79.23579
881,79.71207
882,80.18273
883,80.6109
884,80.88309
885,81.1481
886,81.45644
887,81.66928
888,81.9529
889,82.38074
890,82.84011
891,83.36234
892,83.98589
893,84.4799
894,84.70892
895,85.11401
896,85.12869
897,85.0733
898,84.93207
899,85.07362
900,85.52072
901,85.99332
902,86.34228
903,86.74216
904,87.01781
905,86.25667
906,85.85001
907,85.51588
908,85.76258
909,85.99293
910,86.43481
911,86.7754
912,87.31116
913,87.53873
914,87.9287
915,88.02059
916,87.89796
917,87.81467
918,87.09001
919,86.54916
920,86.65106
921,87.00172
922,86.54688
923,87.02405
924,86.64532
925,86.12463
926,85.59882
927,85.99438
928,85.7233
929,85.64815
930,85.81467
931,85.85285
932,85.87705
933,85.6825
934,85.71883
935,85.37866
936,85.06623
937,84.47704
938,84.47417
939,83.61826
940,83.67265
941,83.40701
942,83.18798
943,83.00936
944,82.79865
945,82.96995
946,82.75053
947,83.66406
948,82.55029
949,82.65132
950,82.21007
951,82.02113
952,80.47987
953,80.54144
954,80.69146
955,80.6216
956,80.56877
957,80.08828
958,79.89857
959,79.20625
960,78.59238
961,77.9888
962,78.26809
963,78.94964
964,78.85548
965,78.53811
966,77.91616
967,78.78711
968,78.0909
969,77.93254
970,78.06504
971,79.48455
972,77.66739
973,78.52464
974,79.32328
975,78.56821
976,77.78773
977,78.73225
978,76.50578
979,75.57937
980,75.30779
981,74.34307
982,73.56311
983,74.57879
984,74.54423
985,75.21761
986,74.86256
987,74.454
988,72.02984
989,71.14584
990,69.64592
991,69.37341
992,69.84415
993,70.78183
994,70.99937
995,71.88589
996,70.84592
997,69.23839
998,69.81197
999,69.13813
1000,68.47801
1001,69.4664
1002,69.6793
1003,69.16515
1004,69.07109
1005,68.57493
1006,68.55337
1007,68.36143
1008,67.92612
1009,67.96021
1010,67.69026
1011,67.32697
1012,67.36707
1013,67.01768
1014,66.74038
1015,66.75343
1016,66.34106
1017,66.16119
1018,66.12227
1019,65.70133
1020,65.63199
1021,65.54707
1022,65.15184
1023,65.13878
1024,64.9584
1025,64.59176
1026,64.60255
1027,64.34058
1028,64.06028
1029,64.08263
1030,63.75439
1031,63.55376
1032,63.56273
1033,63.18713
1034,63.07546
1035,63.04794
1036,62.6783
1037,62.63146
1038,62.53711
1039,62.20194
1040,62.20803
1041,62.04563
1042,61.76303
1043,61.82289
1044,61.59628
1045,61.3752
1046,61.42284
1047,61.13194
1048,60.97267
1049,60.99671
1050,60.684
1051,60.61364
1052,60.60054
1053,60.29038
1054,60.28945
1055,60.21497
1056,59.91109
1057,59.96167
1058,59.80328
1059,59.54082
1060,59.60728
1061,59.40269
1062,59.21141
