'Wavelength (nm)',n,k
0.932905762,2.369134,0
0.934479492,2.368956,0
0.936053101,2.368779,0
0.937626648,2.368603,0
0.939200012,2.368428,0
0.940773315,2.368254,0
0.942346497,2.368081,0
0.943919617,2.367909,0
0.945492554,2.367738,0
0.947065552,2.367568,0
0.948638306,2.367398,0
0.95021106,2.36723,0
0.951783569,2.367063,0
0.953356079,2.366896,0
0.954928528,2.366731,0
0.956500793,2.366566,0
0.958072937,2.366402,0
0.95964502,2.36624,0
0.96121698,2.366077,0
0.962788879,2.365916,0
0.964360657,2.365756,0
0.965932251,2.365597,0
0.967503784,2.365438,0
0.969075317,2.365281,0
0.970646606,2.365124,0
0.972217896,2.364968,0
0.97378894,2.364813,0
0.975359985,2.364659,0
0.976930847,2.364506,0
0.978501648,2.364353,0
0.980072388,2.364201,0
0.981642944,2.36405,0
0.983213501,2.3639,0
0.984783813,2.363751,0
0.986354126,2.363602,0
0.987924194,2.363454,0
0.989494324,2.363307,0
0.99106427,2.363161,0
0.992634094,2.363015,0
0.994203796,2.362871,0
0.995773315,2.362727,0
0.997342896,2.362584,0
0.998912292,2.362441,0
1.01227179,2.361258,0
1.015750671,2.360958,0
1.019227905,2.360661,0
1.022703796,2.360368,0
1.026178101,2.360078,0
1.029650879,2.359792,0
1.033122314,2.359509,0
1.036592285,2.359229,0
1.040060791,2.358952,0
1.043527832,2.358678,0
1.04699353,2.358407,0
1.050457886,2.35814,0
1.053920776,2.357875,0
1.057382446,2.357613,0
1.060842651,2.357354,0
1.064301514,2.357098,0
1.067759155,2.356845,0
1.071215576,2.356594,0
1.074670532,2.356346,0
1.078124268,2.356101,0
1.081576904,2.355858,0
1.085028076,2.355618,0
1.088478149,2.35538,0
1.091927002,2.355145,0
1.095374634,2.354913,0
1.098821045,2.354682,0
1.102266357,2.354455,0
1.105710571,2.354229,0
1.109153564,2.354006,0
1.112595459,2.353785,0
1.116036133,2.353566,0
1.11947583,2.35335,0
1.122914429,2.353136,0
1.126352051,2.352924,0
1.129788452,2.352714,0
1.133223877,2.352506,0
1.136658447,2.3523,0
1.140091919,2.352097,0
1.143524292,2.351895,0
1.146955811,2.351695,0
1.15038623,2.351497,0
1.153815796,2.351301,0
1.157244385,2.351108,0
1.160672119,2.350915,0
1.164098999,2.350725,0
1.167524902,2.350537,0
1.170949951,2.35035,0
1.174374146,2.350166,0
1.177797485,2.349983,0
1.181219971,2.349801,0
1.184641724,2.349622,0
1.188062622,2.349444,0
1.191482666,2.349267,0
1.1949021,2.349093,0
1.198320557,2.34892,0
1.201738525,2.348748,0
1.205155518,2.348579,0
1.208572021,2.34841,0
1.211987671,2.348244,0
1.21540271,2.348078,0
1.218817139,2.347915,0
1.222230713,2.347753,0
1.225643799,2.347592,0
1.229056396,2.347432,0
1.23246814,2.347275,0
1.235879395,2.347118,0
1.239290039,2.346963,0
1.242700073,2.346809,0
1.246109619,2.346657,0
1.249518677,2.346506,0
1.252927002,2.346356,0
1.256335083,2.346208,0
1.259742432,2.346061,0
1.263149536,2.345915,0
1.26655603,2.34577,0
1.269962158,2.345627,0
1.273367798,2.345484,0
1.276772949,2.345344,0
1.280177856,2.345204,0
1.283582275,2.345065,0
1.286986206,2.344928,0
1.290389893,2.344792,0
1.293793213,2.344657,0
1.297196289,2.344523,0
1.300598999,2.34439,0
1.304001343,2.344258,0
1.307403564,2.344127,0
1.310805298,2.343998,0
1.314206787,2.343869,0
1.317608154,2.343742,0
1.321009277,2.343616,0
1.324410156,2.34349,0
1.327810791,2.343366,0
1.331211304,2.343242,0
1.334611572,2.34312,0
1.338011719,2.342999,0
1.341411865,2.342878,0
1.344811646,2.342759,0
1.348211426,2.34264,0
1.351611084,2.342523,0
1.355010742,2.342406,0
1.358410278,2.34229,0
1.361809692,2.342175,0
1.365209106,2.342061,0
1.368608521,2.341948,0
1.372007935,2.341836,0
1.375407349,2.341725,0
1.378806763,2.341614,0
1.382206177,2.341505,0
1.385605713,2.341396,0
1.389005127,2.341288,0
1.392404785,2.341181,0
1.395804443,2.341075,0
1.399204346,2.340969,0
1.402604248,2.340864,0
1.406004395,2.34076,0
1.409404541,2.340657,0
1.412804932,2.340555,0
1.416205566,2.340453,0
1.419606323,2.340353,0
1.423007324,2.340252,0
1.426408447,2.340153,0
1.429809937,2.340055,0
1.43321167,2.339957,0
1.436613525,2.339859,0
1.440015869,2.339763,0
1.443418335,2.339667,0
1.446821167,2.339572,0
1.450224365,2.339478,0
1.45362793,2.339384,0
1.457031738,2.339291,0
1.460436035,2.339198,0
1.463840576,2.339107,0
1.467245605,2.339015,0
1.470651123,2.338925,0
1.474056885,2.338835,0
1.477463135,2.338746,0
1.480869873,2.338657,0
1.4842771,2.338569,0
1.487684814,2.338482,0
1.491093018,2.338396,0
1.494501831,2.338309,0
1.497911133,2.338224,0
1.501320923,2.338139,0
1.504731201,2.338055,0
1.508142212,2.337971,0
1.511553711,2.337888,0
1.51496582,2.337805,0
1.518378662,2.337723,0
1.521791992,2.337641,0
1.525205933,2.33756,0
1.528620605,2.33748,0
1.532036011,2.3374,0
1.535452026,2.337321,0
1.538868896,2.337242,0
1.542286377,2.337164,0
1.545704468,2.337086,0
1.549123413,2.337009,0
1.552543213,2.336932,0
1.555963623,2.336856,0
1.55938501,2.33678,0
1.562807007,2.336705,0
1.56622998,2.33663,0
1.569653687,2.336556,0
1.573078369,2.336482,0
1.576503784,2.336409,0
1.579930176,2.336336,0
1.583357422,2.336263,0
1.586785645,2.336192,0
1.5902146,2.33612,0
1.593644775,2.336049,0
1.597075684,2.335979,0
1.600507568,2.335909,0
1.603940674,2.335839,0
1.607374512,2.33577,0
1.610809448,2.335701,0
1.614245361,2.335633,0
1.617682373,2.335565,0
1.621120483,2.335497,0
1.624559692,2.33543,0
1.627999756,2.335364,0
1.631441162,2.335297,0
1.634883545,2.335232,0
1.638327148,2.335166,0
1.641771851,2.335101,0
1.645217773,2.335037,0
1.648664795,2.334972,0
1.652113037,2.334908,0
1.6555625,2.334845,0
1.659013062,2.334782,0
1.662465088,2.334719,0
1.665918213,2.334657,0
1.669372437,2.334595,0
1.672828125,2.334534,0
1.676285156,2.334472,0
1.679743408,2.334412,0
1.683202881,2.334351,0
1.686663818,2.334291,0
